id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
20846,,SPECIAL,FINISHED,SUMMER,2014.0,143.0,1.0,5.0,60.0,61.0,4759,21
1398,Macross Dynamite 7,OVA,FINISHED,WINTER,1997.0,971.0,4.0,30.0,67.0,67.0,4756,37
182445,Scissor Seven Season 5,ONA,FINISHED,,,,10.0,15.0,81.0,83.0,4752,137
179541,SHIROHIYO - Reincarnated as a Neglected Noble: Raising My Baby Brother With Memories From My Past Life,ONA,FINISHED,SPRING,2025.0,252.0,12.0,24.0,64.0,65.0,4752,87
624,MØUSE,TV_SHORT,FINISHED,WINTER,2003.0,31.0,12.0,14.0,53.0,53.0,4752,43
289,Comic Party,TV,FINISHED,SPRING,2001.0,12.0,13.0,24.0,63.0,64.0,4751,44
182561,BLEACH 20th Anime Anniversary Official Trailer,SPECIAL,FINISHED,,,,1.0,2.0,81.0,83.0,4750,88
13231,Beyblade: Shogun Steel,TV_SHORT,FINISHED,SPRING,2012.0,122.0,38.0,12.0,56.0,57.0,4746,38
130622,The Birth of Kitaro: The Mystery of GeGeGe,MOVIE,FINISHED,FALL,2023.0,234.0,1.0,105.0,75.0,78.0,4743,105
170018,,TV,RELEASING,FALL,2025.0,254.0,21.0,25.0,67.0,72.0,4742,47
1369,Case Closed: Conan vs. Kid vs. Yaiba,OVA,FINISHED,FALL,2000.0,4.0,1.0,24.0,68.0,69.0,4742,24
100246,Z/X: Code Reunion,TV,FINISHED,FALL,2019.0,194.0,12.0,24.0,55.0,56.0,4741,44
21570,,TV_SHORT,FINISHED,SPRING,2016.0,162.0,12.0,4.0,56.0,57.0,4741,13
146321,D4DJ Double Mix,SPECIAL,FINISHED,SUMMER,2022.0,223.0,1.0,24.0,71.0,72.0,4736,66
99002,,ONA,FINISHED,SUMMER,2016.0,163.0,1.0,1.0,59.0,60.0,4736,13
15989,Saki - Episode of Side A Specials,SPECIAL,FINISHED,WINTER,2013.0,131.0,4.0,30.0,74.0,75.0,4726,29
