anime_id,genre
12355,Romance
12355,Slice of Life
98291,Comedy
98291,Drama
98291,Romance
98291,Slice of Life
15451,Action
15451,Comedy
15451,Ecchi
15451,Fantasy
15451,Romance
11843,Comedy
11843,Slice of Life
21403,Action
21403,Adventure
21403,Fantasy
21403,Romance
21403,Sci-Fi
112124,Action
112124,Adventure
112124,Comedy
112124,Fantasy
112124,Romance
20631,Action
20631,Comedy
20631,Ecchi
20631,Fantasy
20631,Romance
103047,Drama
103047,Fantasy
103047,Slice of Life
2251,Action
2251,Mystery
2251,Supernatural
21196,Action
21196,Drama
21196,Fantasy
21196,Horror
21196,Supernatural
21700,Action
21700,Comedy
21700,Fantasy
105156,Action
105156,Adventure
105156,Comedy
105156,Fantasy
114308,Action
114308,Adventure
114308,Fantasy
1210,Comedy
1210,Drama
1210,Psychological
1210,Romance
1210,Slice of Life
457,Adventure
457,Fantasy
457,Mystery
457,Psychological
457,Slice of Life
457,Supernatural
11887,Drama
11887,Romance
11887,Slice of Life
11887,Supernatural
21595,Comedy
21595,Slice of Life
20994,Action
20994,Adventure
20994,Fantasy
4654,Action
4654,Sci-Fi
4654,Supernatural
11597,Comedy
11597,Drama
11597,Ecchi
11597,Mystery
11597,Psychological
11597,Supernatural
21685,Comedy
21685,Drama
21685,Ecchi
21685,Romance
21685,Slice of Life
18507,Comedy
18507,Drama
18507,Slice of Life
18507,Sports
20966,Comedy
20966,Mystery
20966,Romance
20966,Supernatural
114232,Drama
114232,Romance
114232,Slice of Life
131518,Action
131518,Adventure
131518,Comedy
131518,Sci-Fi
356,Action
356,Fantasy
356,Romance
356,Supernatural
129898,Action
129898,Adventure
129898,Drama
129898,Fantasy
129898,Mystery
129898,Romance
111762,Comedy
111762,Drama
111762,Psychological
111762,Romance
111762,Slice of Life
111762,Supernatural
177709,Action
177709,Comedy
97994,Comedy
97994,Slice of Life
20626,Action
20626,Adventure
20626,Fantasy
98034,Comedy
98034,Slice of Life
98034,Supernatural
116674,Action
116674,Adventure
116674,Supernatural
114963,Drama
114963,Fantasy
114963,Romance
21701,Drama
21701,Ecchi
21701,Psychological
21701,Romance
2890,Adventure
2890,Fantasy
18671,Comedy
18671,Drama
18671,Romance
18671,Slice of Life
142770,Adventure
142770,Fantasy
142770,Mystery
142770,Supernatural
2966,Adventure
2966,Fantasy
2966,Romance
2966,Slice of Life
512,Adventure
512,Drama
512,Fantasy
512,Slice of Life
16894,Comedy
16894,Sports
21861,Action
21861,Fantasy
21861,Supernatural
13125,Drama
13125,Horror
13125,Mystery
13125,Psychological
13125,Sci-Fi
13125,Supernatural
154965,Comedy
154965,Drama
154965,Romance
131942,Action
131942,Adventure
131942,Drama
131942,Supernatural
21058,Drama
21058,Fantasy
21058,Romance
777,Action
777,Horror
777,Supernatural
131586,Action
131586,Drama
131586,Mecha
131586,Sci-Fi
185660,Action
185660,Comedy
185660,Drama
185660,Romance
185660,Sci-Fi
185660,Supernatural
934,Horror
934,Mystery
934,Psychological
934,Supernatural
934,Thriller
21428,Action
21428,Adventure
21428,Drama
21428,Fantasy
20657,Comedy
20657,Romance
20657,Slice of Life
128546,Action
128546,Drama
128546,Music
128546,Sci-Fi
128546,Thriller
109963,Comedy
109963,Ecchi
2236,Drama
2236,Romance
2236,Sci-Fi
2025,Action
2025,Mystery
2025,Sci-Fi
105228,Action
105228,Adventure
105228,Comedy
105228,Fantasy
105228,Horror
105228,Mystery
14467,Action
14467,Mystery
14467,Supernatural
97922,Action
